Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
txn_1961373,coffee,2,2.0,4.0,credit card,takeaway,2023-09-08
txn_4977031,cake,4,3.0,12.0,cash,in-store,2023-05-16
txn_4271903,cookie,4,1.0,,credit card,in-store,2023-07-19
txn_7034554,salad,2,5.0,10.0,unknown,unknown,2023-04-27
txn_3160411,coffee,2,2.0,4.0,digital wallet,in-store,2023-06-11
txn_2602893,smoothie,5,4.0,20.0,credit card,,2023-03-31
txn_4433211,unknown,3,3.0,9.0,error,takeaway,2023-10-06
txn_6699534,sandwich,4,4.0,16.0,cash,unknown,2023-10-28
txn_4717867,,5,3.0,15.0,,takeaway,2023-07-28
txn_2064365,sandwich,5,4.0,20.0,,in-store,2023-12-31
txn_2548360,salad,5,5.0,25.0,cash,takeaway,2023-11-07
txn_3051279,sandwich,2,4.0,8.0,credit card,takeaway,
txn_7619095,sandwich,2,4.0,8.0,cash,in-store,2023-05-03
txn_9437049,cookie,5,1.0,5.0,,takeaway,2023-06-01
txn_8915701,error,2,1.5,3.0,,in-store,2023-03-21
txn_2847255,salad,3,5.0,15.0,credit card,in-store,2023-11-15
txn_3765707,sandwich,1,4.0,4.0,,,2023-06-10
txn_6769710,juice,2,3.0,6.0,cash,in-store,2023-02-24
txn_8876618,cake,5,3.0,15.0,cash,error,2023-03-25
txn_3709394,juice,4,3.0,12.0,cash,takeaway,2023-01-15
txn_3522028,smoothie,error,4.0,20.0,cash,in-store,2023-04-04
txn_3567645,smoothie,4,4.0,16.0,credit card,takeaway,2023-03-30
txn_5132361,sandwich,3,4.0,12.0,digital wallet,takeaway,2023-12-01
txn_2616390,sandwich,2,4.0,8.0,,,2023-09-18
txn_9400181,sandwich,5,4.0,20.0,cash,in-store,2023-06-03
txn_7958992,smoothie,3,4.0,,unknown,unknown,2023-12-13
txn_5183041,cookie,5,1.0,5.0,credit card,in-store,2023-04-20
txn_5695074,juice,4,3.0,12.0,credit card,takeaway,2023-04-10
txn_8467949,smoothie,5,4.0,20.0,credit card,,2023-03-11
txn_7640952,cake,4,3.0,12.0,digital wallet,takeaway,
txn_1736287,,5,2.0,10.0,digital wallet,,2023-06-02
txn_8927252,unknown,2,1.0,,credit card,error,2023-11-06
txn_9677376,smoothie,4,4.0,16.0,,in-store,2023-08-15
txn_7710508,unknown,5,1.0,5.0,cash,,
txn_8853997,smoothie,2,4.0,8.0,digital wallet,takeaway,2023-10-09
txn_9130559,sandwich,1,4.0,4.0,credit card,unknown,2023-05-28
txn_6855453,unknown,4,3.0,12.0,,in-store,2023-07-17
txn_1080432,salad,2,5.0,10.0,credit card,in-store,2023-04-29
txn_2655815,smoothie,4,4.0,16.0,,takeaway,2023-06-08
txn_6688524,coffee,4,2.0,8.0,error,,2023-06-29
txn_2083138,smoothie,3,4.0,12.0,,in-store,2023-04-17
txn_2427584,sandwich,4,4.0,16.0,,takeaway,2023-12-22
txn_6650263,tea,2,1.5,,,takeaway,2023-01-10
txn_9620080,juice,4,3.0,12.0,,takeaway,2023-10-02
txn_1491578,cookie,2,1.0,2.0,,,2023-02-23
txn_5455792,salad,3,5.0,15.0,cash,,2023-03-22
txn_8078640,juice,4,3.0,12.0,digital wallet,in-store,2023-11-03
txn_9499313,juice,5,3.0,15.0,,,2023-03-02
txn_8201146,juice,5,3.0,15.0,cash,,2023-06-26
txn_8230936,cake,3,3.0,9.0,,error,2023-05-02
txn_7742742,cake,5,3.0,15.0,,takeaway,2023-09-05
txn_6342161,salad,5,5.0,25.0,error,takeaway,2023-01-08
txn_8914892,unknown,5,5.0,25.0,digital wallet,,2023-03-15
txn_3363746,smoothie,3,4.0,12.0,credit card,,2023-11-25
txn_8614868,smoothie,5,4.0,20.0,digital wallet,takeaway,2023-12-05
txn_5522862,cookie,error,1.0,2.0,credit card,takeaway,2023-03-19
txn_3578141,cake,5,,15.0,,takeaway,2023-06-27
txn_2080895,cake,unknown,3.0,3.0,digital wallet,in-store,2023-04-19
